year,financial_integration_index,trade_openness,h2_interconnection_component,notes
1810,0.05,0.1,0.08714285714285716,Pre-globalization
1811,0.051000000000000004,0.10125,0.08845714285714287,Pre-globalization
1812,0.052000000000000005,0.10250000000000001,0.08977142857142859,Pre-globalization
1813,0.053,0.10375000000000001,0.0910857142857143,Pre-globalization
1814,0.054,0.10500000000000001,0.09240000000000001,Pre-globalization
1815,0.055,0.10625000000000001,0.09371428571428572,Pre-globalization
1816,0.056,0.1075,0.09502857142857143,Pre-globalization
1817,0.056999999999999995,0.10875,0.09634285714285715,Pre-globalization
1818,0.057999999999999996,0.11,0.09765714285714287,Pre-globalization
1819,0.059,0.11125,0.09897142857142857,Pre-globalization
1820,0.06,0.1125,0.10028571428571428,Pre-globalization
1821,0.061,0.11375,0.1016,Pre-globalization
1822,0.062,0.115,0.10291428571428572,Pre-globalization
1823,0.063,0.11625,0.10422857142857143,Pre-globalization
1824,0.064,0.1175,0.10554285714285716,Pre-globalization
1825,0.065,0.11875,0.10685714285714287,Pre-globalization
1826,0.066,0.12,0.10817142857142859,Pre-globalization
1827,0.067,0.12125,0.10948571428571428,Pre-globalization
1828,0.068,0.1225,0.11080000000000001,Pre-globalization
1829,0.069,0.12375,0.11211428571428572,Pre-globalization
1830,0.07,0.125,0.11342857142857143,Pre-globalization
1831,0.07200000000000001,0.12625,0.11534285714285716,Pre-globalization
1832,0.07400000000000001,0.1275,0.11725714285714287,Pre-globalization
1833,0.076,0.12875,0.11917142857142857,Pre-globalization
1834,0.078,0.13,0.1210857142857143,Pre-globalization
1835,0.08,0.13125,0.12300000000000001,Pre-globalization
1836,0.082,0.1325,0.12491428571428573,Pre-globalization
1837,0.08399999999999999,0.13375,0.12682857142857143,Pre-globalization
1838,0.086,0.135,0.12874285714285716,Pre-globalization
1839,0.088,0.13624999999999998,0.13065714285714283,Pre-globalization
1840,0.09,0.1375,0.1325714285714286,Pre-globalization
1841,0.093,0.13874999999999998,0.13508571428571428,Pre-globalization
1842,0.096,0.14,0.1376,Pre-globalization
