country_name,country_text_id,year,v2x_libdem,v2x_polyarchy,v2x_partipdem,v2x_delibdem,v2x_egaldem,v2x_execorr,v2xlg_legcon,democratic_quality,policy_effectiveness,a1_preliminary
Mexico,MEX,1789,0.044,0.028,0.006,,,0.712,0.1,,0.21280000000000002,
Mexico,MEX,1790,0.044,0.028,0.006,,,0.712,0.1,,0.21280000000000002,
Mexico,MEX,1791,0.044,0.028,0.006,,,0.712,0.1,,0.21280000000000002,
Mexico,MEX,1792,0.044,0.028,0.006,,,0.712,0.1,,0.21280000000000002,
Mexico,MEX,1793,0.044,0.028,0.006,,,0.712,0.1,,0.21280000000000002,
Mexico,MEX,1794,0.044,0.028,0.006,,,0.712,0.1,,0.21280000000000002,
Mexico,MEX,1795,0.044,0.028,0.006,,,0.712,0.1,,0.21280000000000002,
Mexico,MEX,1796,0.044,0.028,0.006,,,0.712,0.1,,0.21280000000000002,
Mexico,MEX,1797,0.044,0.028,0.006,,,0.712,0.1,,0.21280000000000002,
Mexico,MEX,1798,0.044,0.028,0.006,,,0.712,0.1,,0.21280000000000002,
Mexico,MEX,1799,0.044,0.028,0.006,,,0.712,0.1,,0.21280000000000002,
Mexico,MEX,1800,0.044,0.028,0.006,,,0.712,0.1,,0.21280000000000002,
Mexico,MEX,1801,0.044,0.028,0.006,,,0.712,0.1,,0.21280000000000002,
Mexico,MEX,1802,0.044,0.028,0.006,,,0.712,0.1,,0.21280000000000002,
Mexico,MEX,1803,0.044,0.028,0.006,,,0.712,0.1,,0.21280000000000002,
Mexico,MEX,1804,0.044,0.028,0.006,,,0.712,0.1,,0.21280000000000002,
Mexico,MEX,1805,0.044,0.028,0.006,,,0.712,0.1,,0.21280000000000002,
Mexico,MEX,1806,0.044,0.028,0.006,,,0.712,0.1,,0.21280000000000002,
Mexico,MEX,1807,0.044,0.028,0.006,,,0.712,0.1,,0.21280000000000002,
Mexico,MEX,1808,0.044,0.028,0.006,,,0.712,0.1,,0.21280000000000002,
Mexico,MEX,1809,0.048,0.028,0.006,,,0.712,0.1,,0.21280000000000002,
Mexico,MEX,1810,0.047,0.031,0.006,,,0.712,0.206,,0.2552,
Mexico,MEX,1811,0.047,0.031,0.006,,,0.712,0.206,,0.2552,
Mexico,MEX,1812,0.051,0.053,0.008,,,0.712,0.656,,0.43520000000000003,
Mexico,MEX,1813,0.051,0.053,0.008,,,0.712,,,,
Mexico,MEX,1814,0.051,0.053,0.008,,,0.712,0.598,,0.41200000000000003,
Mexico,MEX,1815,0.051,0.053,0.008,,,0.712,0.598,,0.41200000000000003,
Mexico,MEX,1816,0.049,0.041,0.007,,,0.712,0.293,,0.29000000000000004,
Mexico,MEX,1817,0.049,0.041,0.007,,,0.712,0.293,,0.29000000000000004,
Mexico,MEX,1818,0.049,0.041,0.007,,,0.712,0.293,,0.29000000000000004,
Mexico,MEX,1819,0.049,0.041,0.007,,,0.712,0.293,,0.29000000000000004,
Mexico,MEX,1820,0.032,0.068,0.009,,,0.712,0.609,,0.4164,
Mexico,MEX,1821,0.037,0.118,0.038,,,0.712,0.609,,0.4164,
Mexico,MEX,1822,0.105,0.119,0.066,,,0.385,0.657,,0.6318,
Mexico,MEX,1823,0.119,0.181,0.078,,,0.385,0.657,,0.6318,
Mexico,MEX,1824,0.132,0.182,0.091,,,0.385,0.657,,0.6318,
Mexico,MEX,1825,0.136,0.182,0.131,,,0.385,0.657,,0.6318,
Mexico,MEX,1826,0.136,0.182,0.131,,,0.385,0.657,,0.6318,
Mexico,MEX,1827,0.136,0.182,0.131,,,0.385,0.657,,0.6318,
Mexico,MEX,1828,0.136,0.182,0.131,,,0.385,0.657,,0.6318,
Mexico,MEX,1829,0.136,0.182,0.131,,,0.385,0.657,,0.6318,
Mexico,MEX,1830,0.13,0.182,0.131,,,0.385,0.657,,0.6318,
Mexico,MEX,1831,0.122,0.151,0.123,,,0.385,0.657,,0.6318,
Mexico,MEX,1832,0.125,0.163,0.126,,,0.385,0.657,,0.6318,
Mexico,MEX,1833,0.13,0.182,0.131,,,0.385,0.657,,0.6318,
Mexico,MEX,1834,0.13,0.182,0.131,,,0.385,0.657,,0.6318,
Mexico,MEX,1835,0.13,0.182,0.131,,,0.385,0.657,,0.6318,
Mexico,MEX,1836,0.138,0.182,0.082,,,0.385,0.752,,0.6698,
Mexico,MEX,1837,0.133,0.163,0.078,,,0.385,0.752,,0.6698,
Mexico,MEX,1838,0.133,0.163,0.078,,,0.385,0.752,,0.6698,
Mexico,MEX,1839,0.133,0.163,0.078,,,0.385,0.752,,0.6698,
Mexico,MEX,1840,0.145,0.163,0.078,,,0.385,0.752,,0.6698,
Mexico,MEX,1841,0.118,0.156,0.076,,,0.385,0.656,,0.6314,
Mexico,MEX,1842,0.126,0.187,0.083,,,0.385,0.656,,0.6314,
Mexico,MEX,1843,0.156,0.229,0.093,,,0.385,0.656,,0.6314,
Mexico,MEX,1844,0.156,0.229,0.093,,,0.385,0.656,,0.6314,
Mexico,MEX,1845,0.156,0.229,0.093,,,0.385,0.656,,0.6314,
Mexico,MEX,1846,0.126,0.19,0.084,,,0.385,0.656,,0.6314,
Mexico,MEX,1847,0.133,0.215,0.133,,,0.385,0.656,,0.6314,
Mexico,MEX,1848,0.137,0.229,0.137,,,0.385,0.656,,0.6314,
Mexico,MEX,1849,0.137,0.229,0.137,,,0.385,0.656,,0.6314,
Mexico,MEX,1850,0.12,0.198,0.128,,,0.908,0.656,,0.3176,
Mexico,MEX,1851,0.12,0.198,0.128,,,0.908,0.656,,0.3176,
Mexico,MEX,1852,0.12,0.198,0.128,,,0.908,0.656,,0.3176,
Mexico,MEX,1853,0.12,0.198,0.128,,,0.908,0.656,,0.3176,
Mexico,MEX,1854,0.14,0.236,0.139,,,0.392,0.656,,0.6272,
Mexico,MEX,1855,0.14,0.236,0.139,,,0.392,0.656,,0.6272,
Mexico,MEX,1856,0.141,0.236,0.139,,,0.392,0.656,,0.6272,
Mexico,MEX,1857,0.133,0.236,0.152,,,0.392,0.5,,0.5648,
Mexico,MEX,1858,0.106,0.155,0.129,,,0.392,0.5,,0.5648,
Mexico,MEX,1859,0.105,0.15,0.128,,,0.392,0.5,,0.5648,
Mexico,MEX,1860,0.108,0.15,0.119,,,0.392,0.5,,0.5648,
Mexico,MEX,1861,0.109,0.15,0.119,,,0.392,0.5,,0.5648,
Mexico,MEX,1862,0.109,0.15,0.119,,,0.392,0.5,,0.5648,
Mexico,MEX,1863,0.109,0.15,0.119,,,0.392,0.5,,0.5648,
Mexico,MEX,1864,0.109,0.15,0.116,,,0.392,0.5,,0.5648,
Mexico,MEX,1865,0.056,0.15,0.116,,,0.392,0.536,,0.5791999999999999,
