year,relative_performance,log_performance,h7_computation_component,notes
1850,1e-13,-13.0,0.0,Manual computation (human calculator)
1900,5e-11,-10.3,0.10384615384615382,Mechanical calculators
1910,1e-10,-10.0,0.11538461538461539,Improved mechanical
1920,2e-10,-9.7,0.12692307692307694,Electromechanical
1930,5e-10,-9.3,0.14230769230769227,Punch card systems
1940,1e-09,-9.0,0.15384615384615385,Early relay computers
1946,1e-07,-7.0,0.23076923076923078,ENIAC (first electronic)
1950,2e-05,-4.7,0.31923076923076926,Early stored-program computers
1955,0.0001,-4.0,0.34615384615384615,Transistor computers
1960,0.0005,-3.3,0.37307692307692303,Second generation
1965,0.0025,-2.6,0.4,Early integrated circuits
1970,0.01,-2.0,0.4230769230769231,Third generation (IC)
1975,0.05,-1.3,0.44999999999999996,Minicomputers
1980,0.25,-0.6,0.47692307692307695,Personal computers emerge
1985,1.25,0.1,0.5038461538461538,PC revolution
1990,1000.0,3.0,0.6153846153846154,486/Pentium era
1995,100000.0,5.0,0.6923076923076923,Internet age begins
2000,1000000000.0,9.0,0.8461538461538461,Gigahertz processors
2005,100000000000.0,11.0,0.9230769230769231,Multi-core processors
2010,1000000000000.0,12.0,0.9615384615384616,Cloud computing era
2015,5000000000000.0,12.7,0.9884615384615384,Mobile dominance
2020,10000000000000.0,13.0,1.0,AI/ML acceleration
