year,polity2_score,country_count,h7_institutions_component
1776,0.0,1,0.5
1777,0.0,1,0.5
1778,0.0,1,0.5
1779,0.0,1,0.5
1780,0.0,1,0.5
1781,0.0,1,0.5
1782,0.0,1,0.5
1783,0.0,1,0.5
1784,0.0,1,0.5
1785,0.0,1,0.5
1786,0.0,1,0.5
1787,0.0,1,0.5
1788,0.0,1,0.5
1789,0.0,1,0.5
1790,0.0,1,0.5
1791,0.0,1,0.5
1792,0.0,1,0.5
1793,0.0,1,0.5
1794,0.0,1,0.5
1795,0.0,1,0.5
1796,0.0,1,0.5
1797,5.0,1,0.75
1798,5.0,1,0.75
1799,5.0,1,0.75
1800,-7.318181818181818,22,0.1340909090909091
1801,-7.142857142857143,21,0.14285714285714285
1802,-7.2727272727272725,22,0.13636363636363638
1803,-7.2727272727272725,22,0.13636363636363638
1804,-7.2727272727272725,22,0.13636363636363638
1805,-7.142857142857143,21,0.14285714285714285
1806,-7.2727272727272725,22,0.13636363636363638
1807,-7.142857142857143,21,0.14285714285714285
1808,-7.0,20,0.15
1809,-6.95,20,0.1525
1810,-6.95,20,0.1525
1811,-7.0476190476190474,21,0.14761904761904762
1812,-7.0,21,0.15
1813,-7.0,21,0.15
1814,-6.913043478260869,23,0.15434782608695655
1815,-7.466666666666667,30,0.12666666666666665
1816,-7.548387096774194,31,0.1225806451612903
1817,-7.548387096774194,31,0.1225806451612903
1818,-7.4375,32,0.128125
1819,-7.333333333333333,33,0.13333333333333336
1820,-6.828571428571428,35,0.15857142857142859
1821,-6.675675675675675,37,0.16621621621621624
1822,-6.578947368421052,38,0.1710526315789474
1823,-6.631578947368421,38,0.16842105263157894
1824,-6.35,40,0.18250000000000002
1825,-6.166666666666667,42,0.19166666666666665
1826,-6.119047619047619,42,0.19404761904761908
1827,-6.046511627906977,43,0.19767441860465115
1828,-6.093023255813954,43,0.19534883720930232
1829,-6.023255813953488,43,0.19883720930232557
1830,-5.75,48,0.2125
1831,-5.666666666666667,48,0.21666666666666665
1832,-5.510204081632653,49,0.22448979591836732
1833,-5.520833333333333,48,0.22395833333333334
1834,-5.520833333333333,48,0.22395833333333334
1835,-5.708333333333333,48,0.21458333333333335
1836,-5.541666666666667,48,0.22291666666666665
1837,-5.395833333333333,48,0.23020833333333335
1838,-5.18,50,0.24100000000000002
1839,-5.196078431372549,51,0.24019607843137253
1840,-5.196078431372549,51,0.24019607843137253
1841,-5.098039215686274,51,0.2450980392156863
1842,-5.134615384615385,52,0.24326923076923074
1843,-5.134615384615385,52,0.24326923076923074
1844,-5.113207547169812,53,0.2443396226415094
1845,-5.150943396226415,53,0.24245283018867925
1846,-5.134615384615385,52,0.24326923076923074
1847,-4.811320754716981,53,0.25943396226415094
1848,-4.018518518518518,54,0.2990740740740741
1849,-3.909090909090909,55,0.30454545454545456
1850,-3.890909090909091,55,0.3054545454545455
1851,-3.9272727272727272,55,0.3036363636363636
1852,-4.166666666666667,54,0.29166666666666663
1853,-4.148148148148148,54,0.2925925925925926
1854,-4.0,56,0.3
1855,-3.9107142857142856,56,0.30446428571428574
1856,-3.9107142857142856,56,0.30446428571428574
1857,-3.6666666666666665,57,0.3166666666666667
1858,-3.7758620689655173,58,0.3112068965517241
1859,-3.694915254237288,59,0.3152542372881356
1860,-3.7413793103448274,58,0.3129310344827586
1861,-3.1818181818181817,55,0.34090909090909094
