year,h1,h2,h3,h4,h5,h6,h7,k_index
1810,0.022000,0.087143,0.080000,0.068000,0.047200,0.086923,0.032025,0.054179
1811,0.022370,0.088457,0.080500,0.069300,0.047987,0.088165,0.031000,0.054606
1812,0.022740,0.089771,0.081000,0.070600,0.048773,0.089407,0.031500,0.055409
1813,0.023110,0.091086,0.081500,0.071900,0.049560,0.090648,0.031500,0.056085
1814,0.023480,0.092400,0.082000,0.073200,0.050347,0.091890,0.032413,0.056991
1815,0.023850,0.093714,0.082500,0.074500,0.051133,0.093132,0.026600,0.056060
1816,0.024220,0.095029,0.083000,0.075800,0.051920,0.094374,0.025742,0.056449
1817,0.024590,0.096343,0.083500,0.077100,0.052707,0.095615,0.025742,0.057098
1818,0.024960,0.097657,0.084000,0.078400,0.053493,0.096857,0.026906,0.058111
1819,0.025330,0.098971,0.084500,0.079700,0.054280,0.098099,0.028000,0.059096
1820,0.025700,0.100286,0.085000,0.081000,0.055067,0.099341,0.033300,0.061246
1821,0.026070,0.101600,0.085500,0.082900,0.055853,0.100582,0.034905,0.062394
1822,0.026440,0.102914,0.086000,0.084800,0.056640,0.101824,0.035921,0.063386
1823,0.026810,0.104229,0.086500,0.086700,0.057427,0.103066,0.035368,0.063977
1824,0.027180,0.105543,0.087000,0.088600,0.058213,0.104308,0.038325,0.065452
1825,0.027550,0.106857,0.087500,0.090500,0.059000,0.105549,0.040250,0.066651
1826,0.027920,0.108171,0.088000,0.092400,0.059787,0.106791,0.040750,0.067507
1827,0.028290,0.109486,0.088500,0.094300,0.060573,0.108033,0.041512,0.068424
1828,0.028660,0.110800,0.089000,0.096200,0.061360,0.109275,0.041023,0.069043
1829,0.029030,0.112114,0.089500,0.098100,0.062147,0.110516,0.041756,0.069951
1830,0.029400,0.113429,0.090000,0.100000,0.062933,0.111758,0.044625,0.071357
1831,0.029770,0.115343,0.090500,0.101900,0.064113,0.113000,0.045500,0.072411
1832,0.030140,0.117257,0.091000,0.103800,0.065293,0.114242,0.047143,0.073636
1833,0.030510,0.119171,0.091500,0.105700,0.066473,0.115484,0.047031,0.074465
1834,0.030880,0.121086,0.092000,0.107600,0.067653,0.116725,0.047031,0.075316
1835,0.031250,0.123000,0.092500,0.109500,0.068833,0.117967,0.045062,0.075700
1836,0.031620,0.124914,0.093000,0.111400,0.070013,0.119209,0.046812,0.076958
1837,0.031990,0.126829,0.093500,0.113300,0.071193,0.120451,0.048344,0.078159
1838,0.032360,0.128743,0.094000,0.115200,0.072373,0.121692,0.050610,0.079521
1839,0.032730,0.130657,0.094500,0.117100,0.073553,0.122934,0.050441,0.080330
1840,0.038000,0.132571,0.095000,0.119000,0.074733,0.124176,0.050441,0.082790
1841,0.041450,0.135086,0.095500,0.121500,0.075913,0.125802,0.051528,0.084967
1842,0.044900,0.137600,0.096000,0.124000,0.077093,0.127429,0.051100,0.086732
1843,0.048350,0.140114,0.096500,0.126500,0.078273,0.129055,0.051130,0.088557
1844,0.051800,0.142629,0.097000,0.129000,0.079453,0.130681,0.051471,0.090418
1845,0.055250,0.145143,0.097500,0.131500,0.080633,0.132308,0.051179,0.092083
1846,0.058700,0.147657,0.098000,0.134000,0.081813,0.133934,0.051363,0.093836
1847,0.062150,0.150171,0.098500,0.136500,0.082993,0.135560,0.054891,0.096423
1848,0.065600,0.152686,0.099000,0.139000,0.084173,0.137187,0.063266,0.100099
1849,0.069050,0.155200,0.099500,0.141500,0.085353,0.138813,0.064583,0.102074
1850,0.072500,0.157714,0.100000,0.144000,0.086533,0.140440,0.064897,0.103803
1851,0.075950,0.160943,0.100667,0.147000,0.088107,0.142066,0.064756,0.105619
1852,0.079400,0.164171,0.101333,0.150000,0.089680,0.143692,0.062647,0.106940
1853,0.082850,0.167400,0.102000,0.153000,0.091253,0.145319,0.063067,0.108847
1854,0.086300,0.170629,0.102667,0.156000,0.092827,0.146945,0.065168,0.111154
1855,0.089750,0.173857,0.103333,0.159000,0.094400,0.148571,0.066883,0.113355
1856,0.093200,0.177086,0.104000,0.162000,0.095973,0.150198,0.067362,0.115246
1857,0.096650,0.180314,0.104667,0.165000,0.097547,0.151824,0.070035,0.117660
1858,0.100100,0.183543,0.105333,0.168000,0.099120,0.153451,0.069401,0.119263
1859,0.103550,0.186771,0.106000,0.171000,0.100693,0.155077,0.070903,0.121378
1860,0.107000,0.190000,0.106667,0.174000,0.102267,0.156703,0.071359,0.123228
1861,0.110750,0.194429,0.107333,0.177000,0.103840,0.158330,0.075890,0.126221
1862,0.114500,0.198857,0.108000,0.180000,0.105413,0.159956,0.077638,0.128529
1863,0.118250,0.203286,0.108667,0.183000,0.106987,0.161582,0.079116,0.130765
1864,0.122000,0.207714,0.109333,0.186000,0.108560,0.163209,0.079030,0.132621
1865,0.125750,0.212143,0.110000,0.189000,0.110133,0.164835,0.082116,0.135224
1866,0.129500,0.216571,0.110667,0.192000,0.111707,0.166462,0.083361,0.137384
1867,0.133250,0.221000,0.111333,0.195000,0.113280,0.168088,0.090155,0.140808
1868,0.137000,0.225429,0.112000,0.198000,0.114853,0.169714,0.089921,0.142623
1869,0.140750,0.229857,0.112667,0.201000,0.116427,0.171341,0.090804,0.144683
1870,0.144500,0.234286,0.113333,0.204000,0.071667,0.172967,0.092046,0.136723
1871,0.148250,0.242279,0.114000,0.207733,0.072861,0.175463,0.094521,0.139496
1872,0.152000,0.250272,0.114667,0.211467,0.074056,0.177958,0.098587,0.142590
1873,0.155750,0.258266,0.115333,0.215200,0.075250,0.180454,0.100507,0.145228
1874,0.159500,0.266259,0.116000,0.218933,0.076444,0.182949,0.102318,0.147836
1875,0.163250,0.274252,0.116667,0.222667,0.077639,0.185445,0.103336,0.150272
1876,0.167000,0.282246,0.117333,0.226400,0.078833,0.187941,0.101255,0.152044
1877,0.170750,0.290239,0.118000,0.230133,0.080028,0.190436,0.100689,0.154117
1878,0.174500,0.298233,0.118667,0.233867,0.081222,0.192932,0.100674,0.156296
1879,0.178250,0.306226,0.119333,0.237600,0.082417,0.195427,0.102124,0.158792
1880,0.182000,0.314219,0.120000,0.241333,0.083611,0.197923,0.107876,0.162223
1881,0.185225,0.322213,0.121000,0.245067,0.084806,0.200419,0.109819,0.164814
1882,0.188450,0.330206,0.122000,0.248800,0.086000,0.202914,0.112806,0.167623
1883,0.191675,0.338199,0.123000,0.252533,0.087194,0.205410,0.115108,0.170282
1884,0.194900,0.346193,0.124000,0.256267,0.088389,0.207905,0.114921,0.172408
1885,0.198125,0.354186,0.125000,0.260000,0.089583,0.210401,0.116361,0.174877
1886,0.201350,0.362179,0.126000,0.263733,0.090778,0.212897,0.114864,0.176705
