country_name,country_text_id,year,v2xcl_rol,v2xlg_legcon,v2x_jucon,v2x_liberal,rule_of_law,legislative_checks,judicial_independence,a5_preliminary
Mexico,MEX,1789,0.204,0.1,0.293,0.169,0.204,0.1,0.293,0.18985000000000002
Mexico,MEX,1790,0.204,0.1,0.293,0.169,0.204,0.1,0.293,0.18985000000000002
Mexico,MEX,1791,0.204,0.1,0.293,0.169,0.204,0.1,0.293,0.18985000000000002
Mexico,MEX,1792,0.204,0.1,0.293,0.169,0.204,0.1,0.293,0.18985000000000002
Mexico,MEX,1793,0.204,0.1,0.293,0.169,0.204,0.1,0.293,0.18985000000000002
Mexico,MEX,1794,0.204,0.1,0.293,0.169,0.204,0.1,0.293,0.18985000000000002
Mexico,MEX,1795,0.204,0.1,0.293,0.169,0.204,0.1,0.293,0.18985000000000002
Mexico,MEX,1796,0.204,0.1,0.293,0.169,0.204,0.1,0.293,0.18985000000000002
Mexico,MEX,1797,0.204,0.1,0.293,0.169,0.204,0.1,0.293,0.18985000000000002
Mexico,MEX,1798,0.204,0.1,0.293,0.169,0.204,0.1,0.293,0.18985000000000002
Mexico,MEX,1799,0.204,0.1,0.293,0.169,0.204,0.1,0.293,0.18985000000000002
Mexico,MEX,1800,0.204,0.1,0.293,0.169,0.204,0.1,0.293,0.18985000000000002
Mexico,MEX,1801,0.204,0.1,0.293,0.169,0.204,0.1,0.293,0.18985000000000002
Mexico,MEX,1802,0.204,0.1,0.293,0.169,0.204,0.1,0.293,0.18985000000000002
Mexico,MEX,1803,0.204,0.1,0.293,0.169,0.204,0.1,0.293,0.18985000000000002
Mexico,MEX,1804,0.204,0.1,0.293,0.169,0.204,0.1,0.293,0.18985000000000002
Mexico,MEX,1805,0.204,0.1,0.293,0.169,0.204,0.1,0.293,0.18985000000000002
Mexico,MEX,1806,0.204,0.1,0.293,0.169,0.204,0.1,0.293,0.18985000000000002
Mexico,MEX,1807,0.204,0.1,0.293,0.169,0.204,0.1,0.293,0.18985000000000002
Mexico,MEX,1808,0.204,0.1,0.293,0.169,0.204,0.1,0.293,0.18985000000000002
Mexico,MEX,1809,0.259,0.1,0.293,0.186,0.259,0.1,0.293,0.21184999999999998
Mexico,MEX,1810,0.24,0.206,0.293,0.181,0.24,0.206,0.293,0.24135
Mexico,MEX,1811,0.24,0.206,0.293,0.181,0.24,0.206,0.293,0.24135
Mexico,MEX,1812,0.24,0.656,0.332,0.192,0.24,0.656,0.332,0.4086
Mexico,MEX,1813,0.226,,0.332,0.189,0.226,,0.332,
Mexico,MEX,1814,0.226,0.598,0.332,0.189,0.226,0.598,0.332,0.3827
Mexico,MEX,1815,0.226,0.598,0.332,0.189,0.226,0.598,0.332,0.3827
Mexico,MEX,1816,0.228,0.293,0.332,0.187,0.228,0.293,0.332,0.27675
Mexico,MEX,1817,0.228,0.293,0.332,0.187,0.228,0.293,0.332,0.27675
Mexico,MEX,1818,0.228,0.293,0.332,0.187,0.228,0.293,0.332,0.27675
Mexico,MEX,1819,0.228,0.293,0.332,0.187,0.228,0.293,0.332,0.27675
Mexico,MEX,1820,0.216,0.609,0.101,0.109,0.216,0.609,0.101,0.3248
Mexico,MEX,1821,0.21,0.609,0.101,0.107,0.21,0.609,0.101,0.32239999999999996
Mexico,MEX,1822,0.21,0.657,0.189,0.361,0.21,0.657,0.189,0.3612
Mexico,MEX,1823,0.21,0.657,0.189,0.361,0.21,0.657,0.189,0.3612
Mexico,MEX,1824,0.21,0.657,0.333,0.405,0.21,0.657,0.333,0.3972
Mexico,MEX,1825,0.265,0.657,0.333,0.421,0.265,0.657,0.333,0.41919999999999996
Mexico,MEX,1826,0.265,0.657,0.333,0.421,0.265,0.657,0.333,0.41919999999999996
Mexico,MEX,1827,0.265,0.657,0.333,0.421,0.265,0.657,0.333,0.41919999999999996
Mexico,MEX,1828,0.265,0.657,0.333,0.421,0.265,0.657,0.333,0.41919999999999996
Mexico,MEX,1829,0.265,0.657,0.333,0.421,0.265,0.657,0.333,0.41919999999999996
Mexico,MEX,1830,0.265,0.657,0.27,0.399,0.265,0.657,0.27,0.40345
Mexico,MEX,1831,0.265,0.657,0.27,0.399,0.265,0.657,0.27,0.40345
Mexico,MEX,1832,0.265,0.657,0.27,0.399,0.265,0.657,0.27,0.40345
Mexico,MEX,1833,0.265,0.657,0.27,0.399,0.265,0.657,0.27,0.40345
Mexico,MEX,1834,0.265,0.657,0.27,0.399,0.265,0.657,0.27,0.40345
Mexico,MEX,1835,0.265,0.657,0.27,0.399,0.265,0.657,0.27,0.40345
Mexico,MEX,1836,0.265,0.752,0.27,0.427,0.265,0.752,0.27,0.4367
Mexico,MEX,1837,0.265,0.752,0.27,0.427,0.265,0.752,0.27,0.4367
Mexico,MEX,1838,0.265,0.752,0.27,0.427,0.265,0.752,0.27,0.4367
Mexico,MEX,1839,0.265,0.752,0.27,0.427,0.265,0.752,0.27,0.4367
Mexico,MEX,1840,0.265,0.752,0.406,0.47,0.265,0.752,0.406,0.4707
Mexico,MEX,1841,0.265,0.656,0.195,0.379,0.265,0.656,0.195,0.38435
Mexico,MEX,1842,0.265,0.656,0.195,0.379,0.265,0.656,0.195,0.38435
Mexico,MEX,1843,0.265,0.656,0.401,0.44,0.265,0.656,0.401,0.43585
Mexico,MEX,1844,0.265,0.656,0.401,0.44,0.265,0.656,0.401,0.43585
Mexico,MEX,1845,0.265,0.656,0.401,0.44,0.265,0.656,0.401,0.43585
Mexico,MEX,1846,0.265,0.656,0.19,0.376,0.265,0.656,0.19,0.3831
Mexico,MEX,1847,0.265,0.656,0.19,0.376,0.265,0.656,0.19,0.3831
Mexico,MEX,1848,0.265,0.656,0.19,0.376,0.265,0.656,0.19,0.3831
Mexico,MEX,1849,0.265,0.656,0.19,0.376,0.265,0.656,0.19,0.3831
Mexico,MEX,1850,0.265,0.656,0.098,0.348,0.265,0.656,0.098,0.36010000000000003
Mexico,MEX,1851,0.265,0.656,0.098,0.348,0.265,0.656,0.098,0.36010000000000003
Mexico,MEX,1852,0.265,0.656,0.098,0.348,0.265,0.656,0.098,0.36010000000000003
Mexico,MEX,1853,0.265,0.656,0.098,0.348,0.265,0.656,0.098,0.36010000000000003
Mexico,MEX,1854,0.265,0.656,0.196,0.381,0.265,0.656,0.196,0.3846
Mexico,MEX,1855,0.265,0.656,0.196,0.381,0.265,0.656,0.196,0.3846
Mexico,MEX,1856,0.265,0.656,0.214,0.382,0.265,0.656,0.214,0.3891
Mexico,MEX,1857,0.291,0.5,0.258,0.356,0.291,0.5,0.258,0.3559
Mexico,MEX,1858,0.232,0.5,0.258,0.336,0.232,0.5,0.258,0.3323
Mexico,MEX,1859,0.232,0.5,0.258,0.336,0.232,0.5,0.258,0.3323
Mexico,MEX,1860,0.265,0.5,0.258,0.347,0.265,0.5,0.258,0.34550000000000003
Mexico,MEX,1861,0.274,0.5,0.258,0.35,0.274,0.5,0.258,0.3491
Mexico,MEX,1862,0.274,0.5,0.258,0.35,0.274,0.5,0.258,0.3491
Mexico,MEX,1863,0.274,0.5,0.258,0.35,0.274,0.5,0.258,0.3491
Mexico,MEX,1864,0.274,0.5,0.258,0.35,0.274,0.5,0.258,0.3491
Mexico,MEX,1865,0.274,0.536,0.187,0.157,0.274,0.536,0.187,0.34395000000000003
Mexico,MEX,1866,0.274,0.536,0.187,0.157,0.274,0.536,0.187,0.34395000000000003
Mexico,MEX,1867,0.28,0.421,0.187,0.303,0.28,0.421,0.187,0.3061
Mexico,MEX,1868,0.288,0.421,0.187,0.307,0.288,0.421,0.187,0.30929999999999996
Mexico,MEX,1869,0.288,0.421,0.187,0.307,0.288,0.421,0.187,0.30929999999999996
Mexico,MEX,1870,0.309,0.421,0.187,0.314,0.309,0.421,0.187,0.3177
Mexico,MEX,1871,0.309,0.421,0.187,0.314,0.309,0.421,0.187,0.3177
Mexico,MEX,1872,0.309,0.421,0.187,0.314,0.309,0.421,0.187,0.3177
Mexico,MEX,1873,0.309,0.421,0.187,0.314,0.309,0.421,0.187,0.3177
Mexico,MEX,1874,0.309,0.421,0.187,0.314,0.309,0.421,0.187,0.3177
Mexico,MEX,1875,0.309,0.421,0.187,0.314,0.309,0.421,0.187,0.3177
Mexico,MEX,1876,0.312,0.179,0.237,0.253,0.312,0.179,0.237,0.2467
Mexico,MEX,1877,0.27,0.057,0.195,0.181,0.27,0.057,0.195,0.17670000000000002
Mexico,MEX,1878,0.27,0.057,0.195,0.181,0.27,0.057,0.195,0.17670000000000002
Mexico,MEX,1879,0.27,0.057,0.195,0.181,0.27,0.057,0.195,0.17670000000000002
