country_code,country_name,year,resident,total,patents_per_capita,patents_component
,High income,1997,690700.0,1017400.0,1017400.0,0.915878366552927
,High income,1998,706700.0,1045900.0,1045900.0,0.9178040941275144
,High income,1999,735400.0,1096800.0,1096800.0,0.9211163424152992
,High income,2000,804200.0,1191400.0,1191400.0,0.9268830716065429
,High income,2001,816900.0,1251400.0,1251400.0,0.9303078739124488
,High income,2002,805800.0,1235200.0,1235200.0,0.9293996351225391
,High income,2003,821000.0,1248200.0,1248200.0,0.9301294042024865
,High income,2004,851300.0,1299700.0,1299700.0,0.9329475848596659
,High income,2005,886700.0,1365300.0,1365300.0,0.9363798371559776
,High income,2006,886500.0,1397900.0,1397900.0,0.9380246264950622
,High income,2007,898400.0,1428100.0,1428100.0,0.9395144546485008
,High income,2008,888200.0,1423700.0,1423700.0,0.9392993653428366
,High income,2009,841600.0,1343900.0,1343900.0,0.9352786361884066
,High income,2010,861700.0,1393900.0,1393900.0,0.9378248884291516
,High income,2011,868300.0,1410800.0,1410800.0,0.938664909930261
,High income,2012,899800.0,1471400.0,1471400.0,0.9415964604576832
,High income,2013,916300.0,1504200.0,1504200.0,0.9431332052790191
,High income,2014,912900.0,1518200.0,1518200.0,0.9437789547805533
,High income,2015,912900.0,1539500.0,1539500.0,0.944750083139957
,High income,2016,917400.0,1549000.0,1549000.0,0.9451788905225573
,High income,2017,911300.0,1553000.0,1553000.0,0.9453586547713835
,High income,2018,900300.0,1555500.0,1555500.0,0.9454707724551066
,High income,2019,900200.0,1592000.0,1592000.0,0.9470874800718929
,High income,2020,870300.0,1552800.0,1552800.0,0.9453496775611316
,Low income,1997,200.0,900.0,900.0,0.42591391731008343
,Low income,1998,200.0,800.0,800.0,0.4177136860765761
,Low income,1999,200.0,900.0,900.0,0.42591391731008343
,Low income,2000,400.0,1200.0,1200.0,0.4459470483252214
,Low income,2001,300.0,1200.0,1200.0,0.4459470483252214
,Low income,2002,300.0,1100.0,1100.0,0.4398873186272768
,Low income,2003,400.0,1000.0,1000.0,0.43325018721766384
,Low income,2004,400.0,1000.0,1000.0,0.43325018721766384
,Low income,2005,6100.0,6900.0,6900.0,0.567824603560444
,Low income,2006,6600.0,7700.0,7700.0,0.575469962916869
,Low income,2007,7300.0,8400.0,8400.0,0.5815342143195845
,Low income,2008,8200.0,9200.0,9200.0,0.5878745527067948
,Low income,2009,8700.0,9600.0,9600.0,0.5908407951291034
,Low income,2010,8700.0,9700.0,9700.0,0.5915630437813952
,Low income,2011,8500.0,9700.0,9700.0,0.5915630437813952
,Low income,2012,9000.0,10200.0,10200.0,0.5950661220796526
,Low income,2013,700.0,2000.0,2000.0,0.4815302110492899
,Low income,2014,600.0,2100.0,2100.0,0.4849294020337481
,Low income,2015,700.0,2000.0,2000.0,0.4815302110492899
,Low income,2016,600.0,1800.0,1800.0,0.47419007484361786
,Low income,2017,600.0,1900.0,1900.0,0.4779567174574767
,Low income,2018,800.0,2300.0,2300.0,0.4912675769449813
,Low income,2019,600.0,2200.0,2200.0,0.4881705062726315
,Low income,2020,600.0,1900.0,1900.0,0.4779567174574767
,Lower middle income,1997,9100.0,27700.0,27700.0,0.6646988105102818
,Lower middle income,1998,10000.0,27300.0,27300.0,0.6636849590478205
,Lower middle income,1999,10000.0,23200.0,23200.0,0.6523422360973996
,Lower middle income,2000,10200.0,27300.0,27300.0,0.6636849590478205
,Lower middle income,2001,12200.0,30200.0,30200.0,0.6707216556756352
,Lower middle income,2002,6800.0,22700.0,22700.0,0.650823645386315
,Lower middle income,2003,7800.0,25300.0,25300.0,0.6583819506938335
,Lower middle income,2004,10200.0,33100.0,33100.0,0.6771126706369524
,Lower middle income,2005,10700.0,42000.0,42000.0,0.6937111828337095
,Lower middle income,2006,11600.0,48800.0,48800.0,0.704170721280243
,Lower middle income,2007,12300.0,56500.0,56500.0,0.7143828228237438
,Lower middle income,2008,11800.0,58200.0,58200.0,0.7164491300715385
,Lower middle income,2009,11900.0,53300.0,53300.0,0.7103188771602561
,Lower middle income,2010,25700.0,78300.0,78300.0,0.7371272474771257
,Lower middle income,2011,26200.0,81900.0,81900.0,0.740260481627239
,Lower middle income,2012,26100.0,83100.0,83100.0,0.7412743576684863
,Lower middle income,2013,28700.0,84500.0,84500.0,0.7424388700377178
,Lower middle income,2014,32400.0,86900.0,86900.0,0.7443910008097414
,Lower middle income,2015,32800.0,91300.0,91300.0,0.7478338147077714
,Lower middle income,2016,35100.0,92500.0,92500.0,0.7487439843579105
,Lower middle income,2017,38800.0,95200.0,95200.0,0.750749425804704
,Lower middle income,2018,36300.0,98500.0,98500.0,0.7531246632039303
,Lower middle income,2019,41100.0,105400.0,105400.0,0.7578439745281907
,Lower middle income,2020,42400.0,104900.0,104900.0,0.7575125286782853
,Upper middle income,1997,37000.0,117200.0,117200.0,0.7652408004153164
,Upper middle income,1998,39600.0,140900.0,140900.0,0.7780779096018555
,Upper middle income,1999,45700.0,147700.0,147700.0,0.7813632103246169
,Upper middle income,2000,60000.0,157600.0,157600.0,0.7858853398895747
,Upper middle income,2001,66900.0,174000.0,174000.0,0.7927856139599369
,Upper middle income,2002,76000.0,184900.0,184900.0,0.7970207694934658
,Upper middle income,2003,95600.0,209400.0,209400.0,0.8056940244210758
,Upper middle income,2004,104800.0,234400.0,234400.0,0.8135553525569256
,Upper middle income,2005,135300.0,289000.0,289000.0,0.8281510637462901
