year,h1,h2,h3,h4,h5,h6,h7,h7_validated,k_six_harmony,k_seven_synthetic,k_seven_validated,diff_synthetic_vs_six,diff_validated_vs_six,diff_validated_vs_synthetic
1996,0.63120000,0.73542900,0.59200000,0.71360000,0.48160000,0.68356000,0.48869800,0.24926207,0.63337060,0.61033700,0.55437101,-0.02303360,-0.07899959,-0.05596599
1997,0.63940000,0.75014300,0.59900000,0.72120000,0.49020000,0.68772500,0.50552900,,0.64174805,0.62024300,,-0.02150505,,
1998,0.64760000,0.76485700,0.60600000,0.72880000,0.49880000,0.69189000,0.52721100,0.26535832,0.65011262,0.63094000,0.57199851,-0.01917262,-0.07811411,-0.05894149
1999,0.65580000,0.77957100,0.61300000,0.73640000,0.50740000,0.69605500,0.55177600,,0.65846480,0.64204500,,-0.01641980,,
2000,0.66400000,0.79428600,0.62000000,0.74400000,0.51600000,0.70022000,0.57902100,0.43424564,0.66680519,0.65349300,0.62717667,-0.01331219,-0.03962851,-0.02631633
2001,0.67360000,0.81428600,0.62600000,0.74720000,0.52388300,0.70481300,0.60166800,,0.67517509,0.66414800,,-0.01102709,,
2002,0.68320000,0.83428600,0.63200000,0.75040000,0.53176700,0.70940700,0.61565000,0.45637785,0.68351533,0.67338000,0.64519016,-0.01013533,-0.03832518,-0.02818984
2003,0.69280000,0.85428600,0.63800000,0.75360000,0.53965000,0.71400000,0.63376800,0.44838465,0.69182649,0.68321800,0.65026526,-0.00860849,-0.04156123,-0.03295274
2004,0.70240000,0.87428600,0.64400000,0.75680000,0.54753300,0.71859300,0.66263300,0.45494685,0.70011016,0.69462900,0.65829826,-0.00548116,-0.04181190,-0.03633074
2005,0.71200000,0.89428600,0.65000000,0.76000000,0.55541700,0.72318700,0.69689500,0.44642069,0.70836788,0.70671700,0.66315328,-0.00165088,-0.04521460,-0.04356372
2006,0.72160000,0.91428600,0.65600000,0.76320000,0.56330000,0.72778000,0.72760800,0.47464734,0.71659996,0.71816200,0.67564539,0.00156204,-0.04095457,-0.04251661
2007,0.73120000,0.93428600,0.66200000,0.76640000,0.57118300,0.73237400,0.75638300,0.48665374,0.72480795,0.72923700,0.68471249,0.00442905,-0.04009546,-0.04452451
2008,0.74080000,0.92142900,0.66800000,0.76960000,0.57906700,0.73696700,0.76324200,0.50010918,0.72872478,0.73355800,0.69056821,0.00483322,-0.03815658,-0.04298979
2009,0.75040000,0.89904800,0.67400000,0.77280000,0.58695000,0.74156000,0.75701900,0.50284055,0.73129345,0.73491400,0.69319328,0.00362055,-0.03810017,-0.04172072
2010,0.76000000,0.87666700,0.68000000,0.77600000,0.59483300,0.74615400,0.79610000,0.48853181,0.73373697,0.74233800,0.69231707,0.00860103,-0.04141990,-0.05002093
2011,0.76650000,0.88028600,0.68400000,0.77800000,0.59985000,0.74935400,0.81549600,0.50164603,0.73787629,0.74849500,0.69830102,0.01061871,-0.03957528,-0.05019398
2012,0.77300000,0.88390500,0.68800000,0.78000000,0.60486700,0.75255400,0.84249300,0.49799238,0.74201203,0.75559700,0.70092213,0.01358497,-0.04108991,-0.05467487
2013,0.77950000,0.88752400,0.69200000,0.78200000,0.60988300,0.75575400,0.86758200,0.50485703,0.74614404,0.76239200,0.70564514,0.01624796,-0.04049891,-0.05674686
2014,0.78600000,0.89114300,0.69600000,0.78400000,0.61490000,0.75895400,0.87616100,0.51256816,0.75027280,0.76708400,0.71052764,0.01681120,-0.03974516,-0.05655636
2015,0.79250000,0.89476200,0.70000000,0.78600000,0.61991700,0.76215400,0.88661900,0.49782716,0.75439814,0.77200500,0.71090530,0.01760686,-0.04349285,-0.06109970
2016,0.79900000,0.88998100,0.70400000,0.78800000,0.62493300,0.76535400,0.90040600,0.49824525,0.75733327,0.77628800,0.71336096,0.01895473,-0.04397231,-0.06292704
2017,0.80550000,0.88520000,0.70800000,0.79000000,0.62995000,0.76855400,0.91162700,0.51167110,0.76025268,0.78023200,0.71844121,0.01997932,-0.04181147,-0.06179079
2018,0.81200000,0.88041900,0.71200000,0.79200000,0.63496700,0.77175400,0.91933700,0.51186894,0.76315621,0.78372700,0.72083224,0.02057079,-0.04232397,-0.06289476
2019,0.81850000,0.87563800,0.71600000,0.79400000,0.63998300,0.77495400,0.96826900,0.52172781,0.76604367,0.79211500,0.72514289,0.02607133,-0.04090078,-0.06697211
2020,0.82500000,0.87085700,0.72000000,0.79600000,0.64500000,0.77815400,0.91745600,0.51697620,0.76891548,0.78856300,0.72652219,0.01964752,-0.04239329,-0.06204081
