country_code,country_name,year,non-resident,resident,total
,High income,1997,326700.0,690700.0,1017400.0
,High income,1998,339200.0,706700.0,1045900.0
,High income,1999,361400.0,735400.0,1096800.0
,High income,2000,387200.0,804200.0,1191400.0
,High income,2001,434500.0,816900.0,1251400.0
,High income,2002,429400.0,805800.0,1235200.0
,High income,2003,427200.0,821000.0,1248200.0
,High income,2004,448400.0,851300.0,1299700.0
,High income,2005,478600.0,886700.0,1365300.0
,High income,2006,511400.0,886500.0,1397900.0
,High income,2007,529700.0,898400.0,1428100.0
,High income,2008,535500.0,888200.0,1423700.0
,High income,2009,502300.0,841600.0,1343900.0
,High income,2010,532200.0,861700.0,1393900.0
,High income,2011,542500.0,868300.0,1410800.0
,High income,2012,571600.0,899800.0,1471400.0
,High income,2013,587900.0,916300.0,1504200.0
,High income,2014,605300.0,912900.0,1518200.0
,High income,2015,626600.0,912900.0,1539500.0
,High income,2016,631600.0,917400.0,1549000.0
,High income,2017,641700.0,911300.0,1553000.0
,High income,2018,655200.0,900300.0,1555500.0
,High income,2019,691800.0,900200.0,1592000.0
,High income,2020,682500.0,870300.0,1552800.0
,Low income,1997,700.0,200.0,900.0
,Low income,1998,600.0,200.0,800.0
,Low income,1999,700.0,200.0,900.0
,Low income,2000,800.0,400.0,1200.0
,Low income,2001,900.0,300.0,1200.0
,Low income,2002,800.0,300.0,1100.0
,Low income,2003,600.0,400.0,1000.0
,Low income,2004,600.0,400.0,1000.0
,Low income,2005,800.0,6100.0,6900.0
,Low income,2006,1100.0,6600.0,7700.0
,Low income,2007,1100.0,7300.0,8400.0
,Low income,2008,1000.0,8200.0,9200.0
,Low income,2009,900.0,8700.0,9600.0
,Low income,2010,1000.0,8700.0,9700.0
,Low income,2011,1200.0,8500.0,9700.0
,Low income,2012,1200.0,9000.0,10200.0
,Low income,2013,1300.0,700.0,2000.0
,Low income,2014,1500.0,600.0,2100.0
,Low income,2015,1300.0,700.0,2000.0
,Low income,2016,1200.0,600.0,1800.0
,Low income,2017,1300.0,600.0,1900.0
,Low income,2018,1500.0,800.0,2300.0
,Low income,2019,1600.0,600.0,2200.0
,Low income,2020,1300.0,600.0,1900.0
,Lower middle income,1997,18600.0,9100.0,27700.0
,Lower middle income,1998,17300.0,10000.0,27300.0
,Lower middle income,1999,13200.0,10000.0,23200.0
,Lower middle income,2000,17100.0,10200.0,27300.0
,Lower middle income,2001,18000.0,12200.0,30200.0
,Lower middle income,2002,15900.0,6800.0,22700.0
,Lower middle income,2003,17500.0,7800.0,25300.0
,Lower middle income,2004,22900.0,10200.0,33100.0
,Lower middle income,2005,31300.0,10700.0,42000.0
,Lower middle income,2006,37200.0,11600.0,48800.0
,Lower middle income,2007,44200.0,12300.0,56500.0
,Lower middle income,2008,46400.0,11800.0,58200.0
,Lower middle income,2009,41400.0,11900.0,53300.0
,Lower middle income,2010,52600.0,25700.0,78300.0
,Lower middle income,2011,55700.0,26200.0,81900.0
,Lower middle income,2012,57000.0,26100.0,83100.0
,Lower middle income,2013,55800.0,28700.0,84500.0
,Lower middle income,2014,54500.0,32400.0,86900.0
,Lower middle income,2015,58500.0,32800.0,91300.0
,Lower middle income,2016,57400.0,35100.0,92500.0
