country_code,country_name,year,value,indicator
EAS,East Asia & Pacific,2020,354833.0,"Patent applications, nonresidents"
EAS,East Asia & Pacific,2019,361970.0,"Patent applications, nonresidents"
EAS,East Asia & Pacific,2018,345379.0,"Patent applications, nonresidents"
EAS,East Asia & Pacific,2017,321721.0,"Patent applications, nonresidents"
EAS,East Asia & Pacific,2016,320907.0,"Patent applications, nonresidents"
EAS,East Asia & Pacific,2015,322725.0,"Patent applications, nonresidents"
EAS,East Asia & Pacific,2014,312965.0,"Patent applications, nonresidents"
EAS,East Asia & Pacific,2013,301273.0,"Patent applications, nonresidents"
EAS,East Asia & Pacific,2012,282856.0,"Patent applications, nonresidents"
EAS,East Asia & Pacific,2011,276525.0,"Patent applications, nonresidents"
EAS,East Asia & Pacific,2010,256608.0,"Patent applications, nonresidents"
EAS,East Asia & Pacific,2009,239908.0,"Patent applications, nonresidents"
EAS,East Asia & Pacific,2008,271616.0,"Patent applications, nonresidents"
EAS,East Asia & Pacific,2007,270387.0,"Patent applications, nonresidents"
EAS,East Asia & Pacific,2006,260213.0,"Patent applications, nonresidents"
EAS,East Asia & Pacific,2005,243863.0,"Patent applications, nonresidents"
EAS,East Asia & Pacific,2004,214057.0,"Patent applications, nonresidents"
EAS,East Asia & Pacific,2003,187296.0,"Patent applications, nonresidents"
EAS,East Asia & Pacific,2002,177544.0,"Patent applications, nonresidents"
EAS,East Asia & Pacific,2001,177322.0,"Patent applications, nonresidents"
EAS,East Asia & Pacific,2000,165812.0,"Patent applications, nonresidents"
EAS,East Asia & Pacific,1999,158949.0,"Patent applications, nonresidents"
EAS,East Asia & Pacific,1998,158860.0,"Patent applications, nonresidents"
EAS,East Asia & Pacific,1997,130334.0,"Patent applications, nonresidents"
EAS,East Asia & Pacific,1996,120654.0,"Patent applications, nonresidents"
EAS,East Asia & Pacific,1995,95697.0,"Patent applications, nonresidents"
EAS,East Asia & Pacific,1994,73315.0,"Patent applications, nonresidents"
EAS,East Asia & Pacific,1993,68986.0,"Patent applications, nonresidents"
EAS,East Asia & Pacific,1992,67839.0,"Patent applications, nonresidents"
EAS,East Asia & Pacific,1991,64338.0,"Patent applications, nonresidents"
EAS,East Asia & Pacific,1990,66289.0,"Patent applications, nonresidents"
EAS,East Asia & Pacific,1989,65040.0,"Patent applications, nonresidents"
EAS,East Asia & Pacific,1988,58618.0,"Patent applications, nonresidents"
EAS,East Asia & Pacific,1987,57050.0,"Patent applications, nonresidents"
EAS,East Asia & Pacific,1986,50544.0,"Patent applications, nonresidents"
EAS,East Asia & Pacific,1985,50154.0,"Patent applications, nonresidents"
EAS,East Asia & Pacific,1984,52553.0,"Patent applications, nonresidents"
EAS,East Asia & Pacific,1983,46550.0,"Patent applications, nonresidents"
EAS,East Asia & Pacific,1982,18968.0,"Patent applications, nonresidents"
EAS,East Asia & Pacific,1981,18652.0,"Patent applications, nonresidents"
EAS,East Asia & Pacific,1980,43538.0,"Patent applications, nonresidents"
ECS,Europe & Central Asia,2020,151788.0,"Patent applications, nonresidents"
ECS,Europe & Central Asia,2019,151430.0,"Patent applications, nonresidents"
ECS,Europe & Central Asia,2018,147900.0,"Patent applications, nonresidents"
ECS,Europe & Central Asia,2017,143949.0,"Patent applications, nonresidents"
ECS,Europe & Central Asia,2016,138799.0,"Patent applications, nonresidents"
ECS,Europe & Central Asia,2015,139754.0,"Patent applications, nonresidents"
ECS,Europe & Central Asia,2014,132015.0,"Patent applications, nonresidents"
ECS,Europe & Central Asia,2013,127925.0,"Patent applications, nonresidents"
ECS,Europe & Central Asia,2012,127658.0,"Patent applications, nonresidents"
ECS,Europe & Central Asia,2011,118649.0,"Patent applications, nonresidents"
ECS,Europe & Central Asia,2010,121885.0,"Patent applications, nonresidents"
ECS,Europe & Central Asia,2009,111028.0,"Patent applications, nonresidents"
ECS,Europe & Central Asia,2008,125789.0,"Patent applications, nonresidents"
ECS,Europe & Central Asia,2007,123606.0,"Patent applications, nonresidents"
ECS,Europe & Central Asia,2006,118475.0,"Patent applications, nonresidents"
ECS,Europe & Central Asia,2005,119294.0,"Patent applications, nonresidents"
ECS,Europe & Central Asia,2004,116622.0,"Patent applications, nonresidents"
ECS,Europe & Central Asia,2003,121174.0,"Patent applications, nonresidents"
ECS,Europe & Central Asia,2002,119545.0,"Patent applications, nonresidents"
ECS,Europe & Central Asia,2001,124178.0,"Patent applications, nonresidents"
ECS,Europe & Central Asia,2000,120443.0,"Patent applications, nonresidents"
ECS,Europe & Central Asia,1999,108804.0,"Patent applications, nonresidents"
ECS,Europe & Central Asia,1998,100868.0,"Patent applications, nonresidents"
ECS,Europe & Central Asia,1997,96444.0,"Patent applications, nonresidents"
ECS,Europe & Central Asia,1996,86492.0,"Patent applications, nonresidents"
ECS,Europe & Central Asia,1995,70301.0,"Patent applications, nonresidents"
ECS,Europe & Central Asia,1994,66950.0,"Patent applications, nonresidents"
ECS,Europe & Central Asia,1993,68444.0,"Patent applications, nonresidents"
ECS,Europe & Central Asia,1992,73990.0,"Patent applications, nonresidents"
ECS,Europe & Central Asia,1991,67229.0,"Patent applications, nonresidents"
ECS,Europe & Central Asia,1990,51472.0,"Patent applications, nonresidents"
ECS,Europe & Central Asia,1989,56163.0,"Patent applications, nonresidents"
ECS,Europe & Central Asia,1988,65760.0,"Patent applications, nonresidents"
ECS,Europe & Central Asia,1987,58851.0,"Patent applications, nonresidents"
ECS,Europe & Central Asia,1986,67976.0,"Patent applications, nonresidents"
ECS,Europe & Central Asia,1985,81297.0,"Patent applications, nonresidents"
ECS,Europe & Central Asia,1984,80546.0,"Patent applications, nonresidents"
ECS,Europe & Central Asia,1983,95965.0,"Patent applications, nonresidents"
ECS,Europe & Central Asia,1982,92401.0,"Patent applications, nonresidents"
ECS,Europe & Central Asia,1981,100535.0,"Patent applications, nonresidents"
ECS,Europe & Central Asia,1980,125951.0,"Patent applications, nonresidents"
,High income,2020,682500.0,"Patent applications, nonresidents"
,High income,2019,691800.0,"Patent applications, nonresidents"
,High income,2018,655200.0,"Patent applications, nonresidents"
,High income,2017,641700.0,"Patent applications, nonresidents"
,High income,2016,631600.0,"Patent applications, nonresidents"
,High income,2015,626600.0,"Patent applications, nonresidents"
,High income,2014,605300.0,"Patent applications, nonresidents"
,High income,2013,587900.0,"Patent applications, nonresidents"
,High income,2012,571600.0,"Patent applications, nonresidents"
,High income,2011,542500.0,"Patent applications, nonresidents"
,High income,2010,532200.0,"Patent applications, nonresidents"
,High income,2009,502300.0,"Patent applications, nonresidents"
,High income,2008,535500.0,"Patent applications, nonresidents"
,High income,2007,529700.0,"Patent applications, nonresidents"
,High income,2006,511400.0,"Patent applications, nonresidents"
,High income,2005,478600.0,"Patent applications, nonresidents"
,High income,2004,448400.0,"Patent applications, nonresidents"
,High income,2003,427200.0,"Patent applications, nonresidents"
,High income,2002,429400.0,"Patent applications, nonresidents"
,High income,2001,434500.0,"Patent applications, nonresidents"
,High income,2000,387200.0,"Patent applications, nonresidents"
,High income,1999,361400.0,"Patent applications, nonresidents"
,High income,1998,339200.0,"Patent applications, nonresidents"
,High income,1997,326700.0,"Patent applications, nonresidents"
LCN,Latin America & Caribbean,2020,42462.0,"Patent applications, nonresidents"
LCN,Latin America & Caribbean,2019,46129.0,"Patent applications, nonresidents"
LCN,Latin America & Caribbean,2018,46257.0,"Patent applications, nonresidents"
LCN,Latin America & Caribbean,2017,48231.0,"Patent applications, nonresidents"
LCN,Latin America & Caribbean,2016,50470.0,"Patent applications, nonresidents"
LCN,Latin America & Caribbean,2015,56102.0,"Patent applications, nonresidents"
LCN,Latin America & Caribbean,2014,55532.0,"Patent applications, nonresidents"
LCN,Latin America & Caribbean,2013,54244.0,"Patent applications, nonresidents"
LCN,Latin America & Caribbean,2012,54246.0,"Patent applications, nonresidents"
LCN,Latin America & Caribbean,2011,51214.0,"Patent applications, nonresidents"
LCN,Latin America & Caribbean,2010,46886.0,"Patent applications, nonresidents"
LCN,Latin America & Caribbean,2009,45025.0,"Patent applications, nonresidents"
LCN,Latin America & Caribbean,2008,52677.0,"Patent applications, nonresidents"
LCN,Latin America & Caribbean,2007,50846.0,"Patent applications, nonresidents"
LCN,Latin America & Caribbean,2006,47719.0,"Patent applications, nonresidents"
LCN,Latin America & Caribbean,2005,43034.0,"Patent applications, nonresidents"
LCN,Latin America & Caribbean,2004,37919.0,"Patent applications, nonresidents"
LCN,Latin America & Caribbean,2003,36331.0,"Patent applications, nonresidents"
LCN,Latin America & Caribbean,2002,37830.0,"Patent applications, nonresidents"
LCN,Latin America & Caribbean,2001,38671.0,"Patent applications, nonresidents"
LCN,Latin America & Caribbean,2000,42558.0,"Patent applications, nonresidents"
LCN,Latin America & Caribbean,1999,39071.0,"Patent applications, nonresidents"
LCN,Latin America & Caribbean,1998,34649.0,"Patent applications, nonresidents"
LCN,Latin America & Caribbean,1997,36818.0,"Patent applications, nonresidents"
LCN,Latin America & Caribbean,1996,22471.0,"Patent applications, nonresidents"
LCN,Latin America & Caribbean,1995,17060.0,"Patent applications, nonresidents"
LCN,Latin America & Caribbean,1994,21742.0,"Patent applications, nonresidents"
LCN,Latin America & Caribbean,1993,18718.0,"Patent applications, nonresidents"
LCN,Latin America & Caribbean,1992,17359.0,"Patent applications, nonresidents"
LCN,Latin America & Caribbean,1991,14456.0,"Patent applications, nonresidents"
LCN,Latin America & Caribbean,1990,13880.0,"Patent applications, nonresidents"
LCN,Latin America & Caribbean,1989,11273.0,"Patent applications, nonresidents"
LCN,Latin America & Caribbean,1988,10035.0,"Patent applications, nonresidents"
LCN,Latin America & Caribbean,1987,11433.0,"Patent applications, nonresidents"
LCN,Latin America & Caribbean,1986,10672.0,"Patent applications, nonresidents"
LCN,Latin America & Caribbean,1985,10708.0,"Patent applications, nonresidents"
LCN,Latin America & Caribbean,1984,14439.0,"Patent applications, nonresidents"
LCN,Latin America & Caribbean,1983,15132.0,"Patent applications, nonresidents"
LCN,Latin America & Caribbean,1982,17103.0,"Patent applications, nonresidents"
LCN,Latin America & Caribbean,1981,19233.0,"Patent applications, nonresidents"
LCN,Latin America & Caribbean,1980,18229.0,"Patent applications, nonresidents"
,Low income,2020,1300.0,"Patent applications, nonresidents"
,Low income,2019,1600.0,"Patent applications, nonresidents"
,Low income,2018,1500.0,"Patent applications, nonresidents"
,Low income,2017,1300.0,"Patent applications, nonresidents"
,Low income,2016,1200.0,"Patent applications, nonresidents"
,Low income,2015,1300.0,"Patent applications, nonresidents"
,Low income,2014,1500.0,"Patent applications, nonresidents"
,Low income,2013,1300.0,"Patent applications, nonresidents"
,Low income,2012,1200.0,"Patent applications, nonresidents"
,Low income,2011,1200.0,"Patent applications, nonresidents"
,Low income,2010,1000.0,"Patent applications, nonresidents"
,Low income,2009,900.0,"Patent applications, nonresidents"
,Low income,2008,1000.0,"Patent applications, nonresidents"
,Low income,2007,1100.0,"Patent applications, nonresidents"
,Low income,2006,1100.0,"Patent applications, nonresidents"
,Low income,2005,800.0,"Patent applications, nonresidents"
,Low income,2004,600.0,"Patent applications, nonresidents"
,Low income,2003,600.0,"Patent applications, nonresidents"
,Low income,2002,800.0,"Patent applications, nonresidents"
,Low income,2001,900.0,"Patent applications, nonresidents"
,Low income,2000,800.0,"Patent applications, nonresidents"
,Low income,1999,700.0,"Patent applications, nonresidents"
,Low income,1998,600.0,"Patent applications, nonresidents"
,Low income,1997,700.0,"Patent applications, nonresidents"
,Lower middle income,2020,62500.0,"Patent applications, nonresidents"
,Lower middle income,2019,64300.0,"Patent applications, nonresidents"
,Lower middle income,2018,62200.0,"Patent applications, nonresidents"
,Lower middle income,2017,56400.0,"Patent applications, nonresidents"
,Lower middle income,2016,57400.0,"Patent applications, nonresidents"
,Lower middle income,2015,58500.0,"Patent applications, nonresidents"
,Lower middle income,2014,54500.0,"Patent applications, nonresidents"
,Lower middle income,2013,55800.0,"Patent applications, nonresidents"
,Lower middle income,2012,57000.0,"Patent applications, nonresidents"
,Lower middle income,2011,55700.0,"Patent applications, nonresidents"
,Lower middle income,2010,52600.0,"Patent applications, nonresidents"
,Lower middle income,2009,41400.0,"Patent applications, nonresidents"
,Lower middle income,2008,46400.0,"Patent applications, nonresidents"
,Lower middle income,2007,44200.0,"Patent applications, nonresidents"
,Lower middle income,2006,37200.0,"Patent applications, nonresidents"
,Lower middle income,2005,31300.0,"Patent applications, nonresidents"
,Lower middle income,2004,22900.0,"Patent applications, nonresidents"
,Lower middle income,2003,17500.0,"Patent applications, nonresidents"
,Lower middle income,2002,15900.0,"Patent applications, nonresidents"
,Lower middle income,2001,18000.0,"Patent applications, nonresidents"
,Lower middle income,2000,17100.0,"Patent applications, nonresidents"
,Lower middle income,1999,13200.0,"Patent applications, nonresidents"
,Lower middle income,1998,17300.0,"Patent applications, nonresidents"
,Lower middle income,1997,18600.0,"Patent applications, nonresidents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2020,18210.0,"Patent applications, nonresidents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2019,19082.0,"Patent applications, nonresidents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2018,17894.0,"Patent applications, nonresidents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2017,17628.0,"Patent applications, nonresidents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2016,15955.0,"Patent applications, nonresidents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2015,15165.0,"Patent applications, nonresidents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2014,13614.0,"Patent applications, nonresidents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2013,14438.0,"Patent applications, nonresidents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2012,14219.0,"Patent applications, nonresidents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2011,14923.0,"Patent applications, nonresidents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2010,14914.0,"Patent applications, nonresidents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2009,11546.0,"Patent applications, nonresidents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2008,13000.0,"Patent applications, nonresidents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2007,13973.0,"Patent applications, nonresidents"
