country_code,country_name,year,value,indicator
EAS,East Asia & Pacific,2020,1769228.0,"Patent applications, residents"
EAS,East Asia & Pacific,2019,1679298.0,"Patent applications, residents"
EAS,East Asia & Pacific,2018,1828229.0,"Patent applications, residents"
EAS,East Asia & Pacific,2017,1684097.0,"Patent applications, residents"
EAS,East Asia & Pacific,2016,1638504.0,"Patent applications, residents"
EAS,East Asia & Pacific,2015,1403980.0,"Patent applications, residents"
EAS,East Asia & Pacific,2014,1240339.0,"Patent applications, residents"
EAS,East Asia & Pacific,2013,1146947.0,"Patent applications, residents"
EAS,East Asia & Pacific,2012,986823.0,"Patent applications, residents"
EAS,East Asia & Pacific,2011,857546.0,"Patent applications, residents"
EAS,East Asia & Pacific,2010,731535.0,"Patent applications, residents"
EAS,East Asia & Pacific,2009,667812.0,"Patent applications, residents"
EAS,East Asia & Pacific,2008,659377.0,"Patent applications, residents"
EAS,East Asia & Pacific,2007,629917.0,"Patent applications, residents"
EAS,East Asia & Pacific,2006,609378.0,"Patent applications, residents"
EAS,East Asia & Pacific,2005,596811.0,"Patent applications, residents"
EAS,East Asia & Pacific,2004,546382.0,"Patent applications, residents"
EAS,East Asia & Pacific,2003,512027.0,"Patent applications, residents"
EAS,East Asia & Pacific,2002,492283.0,"Patent applications, residents"
EAS,East Asia & Pacific,2001,496382.0,"Patent applications, residents"
EAS,East Asia & Pacific,2000,490611.0,"Patent applications, residents"
EAS,East Asia & Pacific,1999,436757.0,"Patent applications, residents"
EAS,East Asia & Pacific,1998,428311.0,"Patent applications, residents"
EAS,East Asia & Pacific,1997,435329.0,"Patent applications, residents"
EAS,East Asia & Pacific,1996,424249.0,"Patent applications, residents"
EAS,East Asia & Pacific,1995,407756.0,"Patent applications, residents"
EAS,East Asia & Pacific,1994,361691.0,"Patent applications, residents"
EAS,East Asia & Pacific,1993,367734.0,"Patent applications, residents"
EAS,East Asia & Pacific,1992,365512.0,"Patent applications, residents"
EAS,East Asia & Pacific,1991,357989.0,"Patent applications, residents"
EAS,East Asia & Pacific,1990,349337.0,"Patent applications, residents"
EAS,East Asia & Pacific,1989,330514.0,"Patent applications, residents"
EAS,East Asia & Pacific,1988,320456.0,"Patent applications, residents"
EAS,East Asia & Pacific,1987,321054.0,"Patent applications, residents"
EAS,East Asia & Pacific,1986,298506.0,"Patent applications, residents"
EAS,East Asia & Pacific,1985,282371.0,"Patent applications, residents"
EAS,East Asia & Pacific,1984,266660.0,"Patent applications, residents"
EAS,East Asia & Pacific,1983,237536.0,"Patent applications, residents"
EAS,East Asia & Pacific,1982,9335.0,"Patent applications, residents"
EAS,East Asia & Pacific,1981,8816.0,"Patent applications, residents"
EAS,East Asia & Pacific,1980,174842.0,"Patent applications, residents"
ECS,Europe & Central Asia,2020,215964.0,"Patent applications, residents"
ECS,Europe & Central Asia,2019,221382.0,"Patent applications, residents"
ECS,Europe & Central Asia,2018,223725.0,"Patent applications, residents"
ECS,Europe & Central Asia,2017,222576.0,"Patent applications, residents"
ECS,Europe & Central Asia,2016,224785.0,"Patent applications, residents"
ECS,Europe & Central Asia,2015,218330.0,"Patent applications, residents"
ECS,Europe & Central Asia,2014,221770.0,"Patent applications, residents"
ECS,Europe & Central Asia,2013,225391.0,"Patent applications, residents"
ECS,Europe & Central Asia,2012,223012.0,"Patent applications, residents"
ECS,Europe & Central Asia,2011,222070.0,"Patent applications, residents"
ECS,Europe & Central Asia,2010,227012.0,"Patent applications, residents"
ECS,Europe & Central Asia,2009,217062.0,"Patent applications, residents"
ECS,Europe & Central Asia,2008,224231.0,"Patent applications, residents"
ECS,Europe & Central Asia,2007,219661.0,"Patent applications, residents"
ECS,Europe & Central Asia,2006,205797.0,"Patent applications, residents"
ECS,Europe & Central Asia,2005,200131.0,"Patent applications, residents"
ECS,Europe & Central Asia,2004,199480.0,"Patent applications, residents"
ECS,Europe & Central Asia,2003,196039.0,"Patent applications, residents"
ECS,Europe & Central Asia,2002,190235.0,"Patent applications, residents"
ECS,Europe & Central Asia,2001,200690.0,"Patent applications, residents"
ECS,Europe & Central Asia,2000,204843.0,"Patent applications, residents"
ECS,Europe & Central Asia,1999,191401.0,"Patent applications, residents"
ECS,Europe & Central Asia,1998,171753.0,"Patent applications, residents"
ECS,Europe & Central Asia,1997,161961.0,"Patent applications, residents"
ECS,Europe & Central Asia,1996,163870.0,"Patent applications, residents"
ECS,Europe & Central Asia,1995,142426.0,"Patent applications, residents"
ECS,Europe & Central Asia,1994,153787.0,"Patent applications, residents"
ECS,Europe & Central Asia,1993,166245.0,"Patent applications, residents"
ECS,Europe & Central Asia,1992,161722.0,"Patent applications, residents"
ECS,Europe & Central Asia,1991,112316.0,"Patent applications, residents"
ECS,Europe & Central Asia,1990,90542.0,"Patent applications, residents"
ECS,Europe & Central Asia,1989,96217.0,"Patent applications, residents"
ECS,Europe & Central Asia,1988,100976.0,"Patent applications, residents"
ECS,Europe & Central Asia,1987,97601.0,"Patent applications, residents"
ECS,Europe & Central Asia,1986,96472.0,"Patent applications, residents"
ECS,Europe & Central Asia,1985,98000.0,"Patent applications, residents"
ECS,Europe & Central Asia,1984,97815.0,"Patent applications, residents"
ECS,Europe & Central Asia,1983,97368.0,"Patent applications, residents"
ECS,Europe & Central Asia,1982,95118.0,"Patent applications, residents"
ECS,Europe & Central Asia,1981,93973.0,"Patent applications, residents"
ECS,Europe & Central Asia,1980,99430.0,"Patent applications, residents"
,High income,2020,870300.0,"Patent applications, residents"
,High income,2019,900200.0,"Patent applications, residents"
,High income,2018,900300.0,"Patent applications, residents"
,High income,2017,911300.0,"Patent applications, residents"
,High income,2016,917400.0,"Patent applications, residents"
,High income,2015,912900.0,"Patent applications, residents"
,High income,2014,912900.0,"Patent applications, residents"
,High income,2013,916300.0,"Patent applications, residents"
,High income,2012,899800.0,"Patent applications, residents"
,High income,2011,868300.0,"Patent applications, residents"
,High income,2010,861700.0,"Patent applications, residents"
,High income,2009,841600.0,"Patent applications, residents"
,High income,2008,888200.0,"Patent applications, residents"
,High income,2007,898400.0,"Patent applications, residents"
,High income,2006,886500.0,"Patent applications, residents"
,High income,2005,886700.0,"Patent applications, residents"
,High income,2004,851300.0,"Patent applications, residents"
,High income,2003,821000.0,"Patent applications, residents"
,High income,2002,805800.0,"Patent applications, residents"
,High income,2001,816900.0,"Patent applications, residents"
,High income,2000,804200.0,"Patent applications, residents"
,High income,1999,735400.0,"Patent applications, residents"
,High income,1998,706700.0,"Patent applications, residents"
,High income,1997,690700.0,"Patent applications, residents"
LCN,Latin America & Caribbean,2020,8385.0,"Patent applications, residents"
LCN,Latin America & Caribbean,2019,8364.0,"Patent applications, residents"
LCN,Latin America & Caribbean,2018,8183.0,"Patent applications, residents"
