indicator_code,indicator_name,country_code,country_name,year,value
EG.ELC.ACCS.ZS,Access to electricity (% of population),AFE,Africa Eastern and Southern,2023,50.6683304830167
EG.ELC.ACCS.ZS,Access to electricity (% of population),AFE,Africa Eastern and Southern,2022,48.8012579607658
EG.ELC.ACCS.ZS,Access to electricity (% of population),AFE,Africa Eastern and Southern,2021,48.1272110400485
EG.ELC.ACCS.ZS,Access to electricity (% of population),AFE,Africa Eastern and Southern,2020,46.2823709455637
EG.ELC.ACCS.ZS,Access to electricity (% of population),AFE,Africa Eastern and Southern,2019,44.3908605333639
EG.ELC.ACCS.ZS,Access to electricity (% of population),AFE,Africa Eastern and Southern,2018,43.0350733507835
EG.ELC.ACCS.ZS,Access to electricity (% of population),AFE,Africa Eastern and Southern,2017,40.2237441730368
EG.ELC.ACCS.ZS,Access to electricity (% of population),AFE,Africa Eastern and Southern,2016,38.8595976583714
EG.ELC.ACCS.ZS,Access to electricity (% of population),AFE,Africa Eastern and Southern,2015,33.9222756622758
EG.ELC.ACCS.ZS,Access to electricity (% of population),AFE,Africa Eastern and Southern,2014,31.8719561283579
EG.ELC.ACCS.ZS,Access to electricity (% of population),AFE,Africa Eastern and Southern,2013,31.7235735731483
EG.ELC.ACCS.ZS,Access to electricity (% of population),AFE,Africa Eastern and Southern,2012,31.6734274619175
EG.ELC.ACCS.ZS,Access to electricity (% of population),AFE,Africa Eastern and Southern,2011,28.909756234127
EG.ELC.ACCS.ZS,Access to electricity (% of population),AFE,Africa Eastern and Southern,2010,27.414953756332
EG.ELC.ACCS.ZS,Access to electricity (% of population),AFE,Africa Eastern and Southern,2009,26.1878464781111
EG.ELC.ACCS.ZS,Access to electricity (% of population),AFE,Africa Eastern and Southern,2008,25.9088451344457
EG.ELC.ACCS.ZS,Access to electricity (% of population),AFE,Africa Eastern and Southern,2007,26.7951445862147
EG.ELC.ACCS.ZS,Access to electricity (% of population),AFE,Africa Eastern and Southern,2006,25.1724823105969
EG.ELC.ACCS.ZS,Access to electricity (% of population),AFE,Africa Eastern and Southern,2005,23.449539355606
EG.ELC.ACCS.ZS,Access to electricity (% of population),AFE,Africa Eastern and Southern,2004,23.724454932615
EG.ELC.ACCS.ZS,Access to electricity (% of population),AFE,Africa Eastern and Southern,2003,22.4932167182052
EG.ELC.ACCS.ZS,Access to electricity (% of population),AFE,Africa Eastern and Southern,2002,21.5486466155625
EG.ELC.ACCS.ZS,Access to electricity (% of population),AFE,Africa Eastern and Southern,2001,19.9442774203583
EG.ELC.ACCS.ZS,Access to electricity (% of population),AFE,Africa Eastern and Southern,2000,19.9172563342889
EG.ELC.ACCS.ZS,Access to electricity (% of population),AFW,Africa Western and Central,2023,57.0692665803595
EG.ELC.ACCS.ZS,Access to electricity (% of population),AFW,Africa Western and Central,2022,55.6866829669796
EG.ELC.ACCS.ZS,Access to electricity (% of population),AFW,Africa Western and Central,2021,54.368598708444
EG.ELC.ACCS.ZS,Access to electricity (% of population),AFW,Africa Western and Central,2020,51.8560428463068
EG.ELC.ACCS.ZS,Access to electricity (% of population),AFW,Africa Western and Central,2019,51.2915769115352
EG.ELC.ACCS.ZS,Access to electricity (% of population),AFW,Africa Western and Central,2018,51.3358293517534
EG.ELC.ACCS.ZS,Access to electricity (% of population),AFW,Africa Western and Central,2017,48.9007280475057
EG.ELC.ACCS.ZS,Access to electricity (% of population),AFW,Africa Western and Central,2016,51.0451271925992
EG.ELC.ACCS.ZS,Access to electricity (% of population),AFW,Africa Western and Central,2015,46.8624182524845
EG.ELC.ACCS.ZS,Access to electricity (% of population),AFW,Africa Western and Central,2014,47.7673605462369
EG.ELC.ACCS.ZS,Access to electricity (% of population),AFW,Africa Western and Central,2013,47.1945030733476
EG.ELC.ACCS.ZS,Access to electricity (% of population),AFW,Africa Western and Central,2012,44.1865003474968
EG.ELC.ACCS.ZS,Access to electricity (% of population),AFW,Africa Western and Central,2011,46.0619669218462
EG.ELC.ACCS.ZS,Access to electricity (% of population),AFW,Africa Western and Central,2010,41.9519903118982
EG.ELC.ACCS.ZS,Access to electricity (% of population),AFW,Africa Western and Central,2009,42.0024854401026
EG.ELC.ACCS.ZS,Access to electricity (% of population),AFW,Africa Western and Central,2008,41.8660146613745
EG.ELC.ACCS.ZS,Access to electricity (% of population),AFW,Africa Western and Central,2007,40.8648618879836
EG.ELC.ACCS.ZS,Access to electricity (% of population),AFW,Africa Western and Central,2006,39.9529044823027
EG.ELC.ACCS.ZS,Access to electricity (% of population),AFW,Africa Western and Central,2005,37.9359101368567
EG.ELC.ACCS.ZS,Access to electricity (% of population),AFW,Africa Western and Central,2004,37.5945022413501
EG.ELC.ACCS.ZS,Access to electricity (% of population),AFW,Africa Western and Central,2003,39.9602539341217
