year,k,h1,h2,h3,h4,h5,h6,h7,note
1996,0.554,0.631,0.735,0.592,0.714,0.482,0.684,0.249,
1998,0.572,0.648,0.765,0.606,0.729,0.499,0.692,0.265,
2000,0.627,0.664,0.794,0.620,0.744,0.516,0.700,0.434,
2002,0.645,0.683,0.834,0.632,0.750,0.532,0.709,0.456,
2003,0.650,0.693,0.854,0.638,0.754,0.540,0.714,0.448,
2004,0.658,0.702,0.874,0.644,0.757,0.548,0.719,0.455,
2005,0.663,0.712,0.894,0.650,0.760,0.555,0.723,0.446,
2006,0.676,0.722,0.914,0.656,0.763,0.563,0.728,0.475,
2007,0.685,0.731,0.934,0.662,0.766,0.571,0.732,0.487,
2008,0.691,0.741,0.921,0.668,0.770,0.579,0.737,0.500,Global Financial Crisis
2009,0.693,0.750,0.899,0.674,0.773,0.587,0.742,0.503,
2010,0.692,0.760,0.877,0.680,0.776,0.595,0.746,0.489,
2011,0.698,0.767,0.880,0.684,0.778,0.600,0.749,0.502,
2012,0.701,0.773,0.884,0.688,0.780,0.605,0.753,0.498,
2013,0.706,0.780,0.888,0.692,0.782,0.610,0.756,0.505,
2014,0.711,0.786,0.891,0.696,0.784,0.615,0.759,0.513,
2015,0.711,0.793,0.895,0.700,0.786,0.620,0.762,0.498,
2016,0.713,0.799,0.890,0.704,0.788,0.625,0.765,0.498,Brexit and political disruption
2017,0.718,0.806,0.885,0.708,0.790,0.630,0.769,0.512,
2018,0.721,0.812,0.880,0.712,0.792,0.635,0.772,0.512,
2019,0.725,0.819,0.876,0.716,0.794,0.640,0.775,0.522,
2020,0.727,0.825,0.871,0.720,0.796,0.645,0.778,0.517,COVID-19 pandemic begins
